player,team,team_conf,fip_num,rating_adjustment,conf_diff,adj_fip_num,IP,FIP,adj_FIP
"Golden, Meghan",Grand Canyon,Grand Canyon,11,5.943600996647373,0.4480923760923963,5.504491379445024,107.6,2.7635551101233453,2.712481609932314
"Grey, Olivia",Michigan St.,Michigan St.,17,5.628677077271209,-0.08379990741924803,11.287523015309542,137.4,2.78505097328574,2.743475449379696
"Rosenberry, Ivy",Oklahoma St.,Oklahoma St.,45,35.70011871400148,-0.09704911078966587,9.2028321752088509,105.3,3.0886750542023975,2.7487209438055205
"Myers, Kiley",Marist,Marist,-6,-20.616405805799783,0.9814637063480949,15.597869512147877,177.9,2.627597814035781,2.7490023644132284
"Charest, Mollie",Manhattan,Manhattan,-7,-16.975340500182433,0.9419630453333184,10.917303545515752,110.3,2.5978613448936745,2.7603029001567365
"Maness, Sierra",USC Upstate,USC Upstate,5,-14.864556299226951,0.3805292505249316,20.245085549751884,163.1,2.6919806660917,2.7854514542569477
"Miller, Ashley",Northwestern,Northwestern,48,29.158104209771434,0.43275050197246656,19.274646292201034,151.5,2.9781563100202866,2.7885500149193034
"Greenwood, Abby",Wofford,Wofford,6,-14.286751387324285,0.014453732421533068,20.30120511974582,135,2.705769071296414,2.8117039240352724
"Kennedy, Emiley",Texas A&M,Texas A&M,82,47.59177349032936,-1.4383941562948852,32.96983235337576,209.4,3.052919660280814,2.818773682980794
"Dixon, Payton",South Fla.,South Fla.,27,-3.0630109322101644,0.2036996501488871,30.266710582359053,187.8,2.805094594903088,2.8224892199422738
"Sanders, Shaelyn",McNeese,McNeese,55,22.69309013406531,-0.45883172651405846,31.848078139420625,194.2,2.944537809138273,2.825320909753209
"Pepkowski, Peyton",Loyola Chicago,Loyola Chicago,25,-9.369362916803599,0.4167353160477227,34.786098232851316,188.9,2.7936697830192543,2.845475490975058
"Ramuno, Sophia",Cal Poly,Cal Poly,13,-17.324072012041515,0.08613810918997956,30.410210121231493,155.9,2.7447114132535093,2.856386911144667
"Jones, Alanah",Purdue Fort Wayne,Purdue Fort Wayne,7,-22.48121504552516,0.4760196941079655,29.957234739633126,140.6,2.711111255585967,2.8743917302633006
"Vawter, Alana",South Carolina,South Carolina,94,52.73236683654632,-1.3364468541346253,39.93118630931905,184.7,3.1702580323744387,2.877519463394033
"Swanson, Lyndie",Houston Christian,Houston Christian,22,-3.157802431062501,-1.010835045768294,24.146967385294207,107.9,2.8652171199010894,2.8851148713866706
"Maxwell, Kelly",Oklahoma,Oklahoma,73,42.48103051718993,0.09099451938234784,30.60996400219242,128.5,3.2294180120659775,2.899534463444907
"Lopez, Mariah",Utah,Utah,73,18.054908658727992,-0.4050727331035562,54.540018608168445,227.7,2.9819219039709863,2.9008504002738777
